og-name,custom_node_code,region-ba,region,ba,
USABA,USAWE,CAL-BANC,CAL,BANC,1
USACI,USAWE,CAL-CISO,CAL,CISO,1
USAII,USAWE,CAL-IID,CAL,IID,1
USALD,USAWE,CAL-LDWP,CAL,LDWP,1
USATI,USAWE,CAL-TIDC,CAL,TIDC,1
CANAB,CANWE,CAN-AESO,CAN,AESO,1
CANAR,CANEA,CAN-NBSO,CAN,NBSO,1
CANBC,CANWE,CAN-BCHA,CAN,BCHA,1
CANMB,CANCE,CAN-MHEB,CAN,MHEB,1
CANON,CANEA,CAN-IESO,CAN,IESO,1
CANQC,CANEA,CAN-HQT,CAN,HQT,1
CANSK,CANCE,CAN-SPC,CAN,SPC,1
USACE,USASE,CAR-CPLE,CAR,CPLE,1
USACW,USASE,CAR-CPLW,CAR,CPLW,1
USADU,USASE,CAR-DUK,CAR,DUK,1
USASC,USASE,CAR-SC,CAR,SC,1
USASG,USASE,CAR-SCEG,CAR,SCEG,1
USAYA,USASE,CAR-YAD,CAR,YAD,1
USASP,USAMR,CENT-SPA,CENT,SPA,1
USASW,USAMR,CENT-SWPP,CENT,SWPP,1
USAFC,USASE,FLA-FPC,FLA,FPC,1
USAFL,USASE,FLA-FPL,FLA,FPL,1
USAFM,USASE,FLA-FMPP,FLA,FMPP,1
USAGV,USASE,FLA-GVL,FLA,GVL,1
USAHS,USASE,FLA-HST,FLA,HST,1
USAJE,USASE,FLA-JEA,FLA,JEA,1
USANS,USASE,FLA-NSB,FLA,NSB,1
USASM,USASE,FLA-SEC,FLA,SEC,1
USATA,USASE,FLA-TAL,FLA,TAL,1
USATC,USASE,FLA-TEC,FLA,TEC,1
MEXXX,MEXXX,MEX-CEN,MEX,CEN,1
USAPJ,USARF,MIDA-PJM,MIDA,PJM,1
USAAI,USASE,MIDW-AECI,MIDW,AECI,1
USAEE,USASE,MIDW-EEI,MIDW,EEI,1
USAGL,USASE,MIDW-GLHB,MIDW,GLHB,1
USALG,USASE,MIDW-LGEE,MIDW,LGEE,1
USAMI,USASE,MIDW-MISO,MIDW,MISO,1
USAIS,USANP,NE-ISNE,NE,ISNE,1
USAAA,USAWE,NW-AVA,NW,AVA,1
USAAN,USAWE,NW-AVRN,NW,AVRN,1
USABP,USAWE,NW-BPAT,NW,BPAT,1
USACH,USAWE,NW-CHPD,NW,CHPD,1
USADO,USAWE,NW-DOPD,NW,DOPD,1
USAGC,USAWE,NW-GCPD,NW,GCPD,1
USAGD,USAWE,NW-GRID,NW,GRID,1
USAGW,USAWE,NW-GWA,NW,GWA,1
USAIP,USAWE,NW-IPCO,NW,IPCO,1
USANE,USAWE,NW-NEVP,NW,NEVP,1
USANW,USAWE,NW-NWMT,NW,NWMT,1
USAPE,USAWE,NW-PACE,NW,PACE,1
USAPG,USAWE,NW-PGE,NW,PGE,1
USAPI,USAWE,NW-PSEI,NW,PSEI,1
USAPO,USAWE,NW-PSCO,NW,PSCO,1
USAPW,USAWE,NW-PACW,NW,PACW,1
USASL,USAWE,NW-SCL,NW,SCL,1
USATR,USAWE,NW-TPWR,NW,TPWR,1
USAWA,USAWE,NW-WAUW,NW,WAUW,1
USAWM,USAWE,NW-WACM,NW,WACM,1
USAWW,USAWE,NW-WWA,NW,WWA,1
USANY,USANP,NY-NYIS,NY,NYIS,1
USAAC,USASE,SE-AEC,SE,AEC,1
USASA,USASE,SE-SEPA,SE,SEPA,1
USASO,USASE,SE-SOCO,SE,SOCO,1
USAAZ,USAWE,SW-AZPS,SW,AZPS,1
USADE,USAWE,SW-DEAA,SW,DEAA,1
USAEP,USAWE,SW-EPE,SW,EPE,1
USAGF,USAWE,SW-GRIF,SW,GRIF,1
USAHG,USAWE,SW-HGMA,SW,HGMA,1
USAPN,USAWE,SW-PNM,SW,PNM,1
USASR,USAWE,SW-SRP,SW,SRP,1
USATP,USAWE,SW-TEPC,SW,TEPC,1
USAWC,USAWE,SW-WALC,SW,WALC,1
USATV,USASE,TEN-TVA,TEN,TVA,1
USAER,USATE,TEX-ERCO,TEX,ERCO,1
